"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6524","EARN-01: Earnings page reports the Stripe connection state","default","2026-08-21","passed","2026-08-21","Earnings — Stripe Connection","features/payment/transactions-history.spec.ts","",""
"","45669","Upgrade: Active Plan ($19) → Multi-Group Plan ($49) — verifies Stripe payment, $49 billing, and Multi-Group card state","plan-transition","2026-08-21","passed","2026-08-21","Hosting Plan Transition — Downgrade · Re-activate · Upgrade","features/transitions/active-plan-transition.spec.ts","",""
"","1302","TC-07: Join Action - Redirection to Payment Page","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
"","7659","Validation: First Name required on registration","auth","2026-08-21","passed","2026-08-21","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","1344","TC-05: Side Panel - Content & Metadata Validation","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
"","26079","Downgrade: Active Plan ($19) → Listing — verifies billing removal, plan card state, and full downgrade flow","plan-transition","2026-08-21","passed","2026-08-21","Hosting Plan Transition — Downgrade · Re-activate · Upgrade","features/transitions/active-plan-transition.spec.ts","",""
"","13451","Cancel Subscription: cancel the whole Multi-Group plan — all remaining groups → Listing","group-transition","2026-08-21","passed","2026-08-21","Multi-Group — Transitions (Downgrade · Reactivate · Cancel & Delete · Cancel Subscription)","features/transitions/multi-group-transition.spec.ts","",""
"","38237","Downgrade: Multi-Group ($49) → Active ($19) — select groups to delete, confirm, and verify plan + group removal","plan-transition","2026-08-21","passed","2026-08-21","Multi-Group Plan Downgrade — Multi-Group ($49) → Active Group ($19)","features/transitions/multi-group-plan-downgrade.spec.ts","",""
"","160409","Provision Multi-Group ($49) Leader with 3 Active Groups for Plan Downgrade Tests","setup-leader-multi-group-downgrade","2026-08-21","passed","2026-08-21","Setup - Multi-Group Downgrade Leader Provisioning","setup/leader-multi-group-downgrade.setup.ts","",""
"","16500","Cancel & Delete: Active Group → Deleted — verifies outer modal, reason flow, and success toast","group-transition","2026-08-21","passed","2026-08-21","Group Transition — Downgrade · Reactivate · Cancel & Delete","features/transitions/active-group-transition.spec.ts","",""
"","5609","TC-01: Dashboard Load & Explore Navigation","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
"","29148","TC-10: Payment Execution - Submit Stripe Details","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
"","49517","Re-activate: Listing → Active Plan ($19) — verifies Stripe payment, billing restoration, and plan card state","plan-transition","2026-08-21","passed","2026-08-21","Hosting Plan Transition — Downgrade · Re-activate · Upgrade","features/transitions/active-plan-transition.spec.ts","",""
"","7135","Validation: Last Name required on registration","auth","2026-08-21","passed","2026-08-21","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","151794","Provision Multi-Group ($49) Leader with 3 Active Groups for Per-Group Transition Tests","setup-leader-multi-group-transition","2026-08-21","passed","2026-08-21","Setup - Multi-Group Transition Leader Provisioning","setup/leader-multi-group-transition.setup.ts","",""
"","20169","Downgrade: Active Group → Listing — verifies modal flow, success toast, and paused billing state","group-transition","2026-08-21","passed","2026-08-21","Group Transition — Downgrade · Reactivate · Cancel & Delete","features/transitions/active-group-transition.spec.ts","",""
"","7911","Declined Card - Verify error feedback","default","2026-08-21","passed","2026-08-21","Stripe Payment Validation","features/payment/stripe-payment-validation.spec.ts","",""
"","8805","TXN-02: Each row carries a date, description, amount and status","default","2026-08-21","passed","2026-08-21","Transactions History","features/payment/transactions-history.spec.ts","",""
"","19625","Reactivate: same group Listing → Active — via My Groups → group leader-space → Upgrade to Active Group","group-transition","2026-08-21","passed","2026-08-21","Multi-Group — Transitions (Downgrade · Reactivate · Cancel & Delete · Cancel Subscription)","features/transitions/multi-group-transition.spec.ts","",""
"","899","TC-03: Group Card - Component Visibility (Listing)","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
"","3172","TC-11: Access Verification - Group Conversations Access","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
"","6731","Format Constraint: Last Name (Regex: Only letters allowed)","auth","2026-08-21","passed","2026-08-21","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","8960","TXN-01: Hosting charge is recorded with the correct amount and status","default","2026-08-21","passed","2026-08-21","Transactions History","features/payment/transactions-history.spec.ts","",""
"","10482","Validation: Missing email submission","auth","2026-08-21","passed","2026-08-21","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","2553","TC-09: Stripe Gateway - Verify Secure Element Injection","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
"","6952","Validation: Reset Password button is disabled on empty email submission","auth","2026-08-21","passed","2026-08-21","Forgot Password Journey > Forgot Password - Boundary Validation","features/auth/forgot-password.spec.ts","",""
"","9865","Invalid Credentials: Registered member cannot login with incorrect password","auth","2026-08-21","passed","2026-08-21","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","6043","RF-04: Billing state after deleting a paid group (refund evidence captured)","refund","2026-08-21","passed","2026-08-21","Participant Refund — Cancel & Delete","features/payment/refund-flow.spec.ts","",""
"","15805","TC-08: Checkout Summary - Verify Plan Information","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
"","6305","Validation: Password required on registration","auth","2026-08-21","passed","2026-08-21","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","707","HEALTH-01: Target environment is serving traffic","health-check","2026-08-21","passed","2026-08-21","Environment Health","setup/health.setup.ts","",""
"","15280","Enforce limit on Multi-Group Plan: 3 groups maximum","default","2026-08-21","passed","2026-08-21","Group Plan Limits Enforcement > Multi-Group Plan Limit (3 Groups)","features/group/group-plan-limits.spec.ts","",""
"","14146","SEC-03: Dashboard Link Integrity Scan","default","2026-08-21","passed","2026-08-21","Core Perimeter Audit","features/core/security-audit.spec.ts","",""
"","5752","SEC-01: Guest user is redirected to login from private pages","default","2026-08-21","passed","2026-08-21","Core Perimeter Audit","features/core/security-audit.spec.ts","",""
"","121712","Create Session modal rejects invalid input","session","2026-08-21","passed","2026-08-21","Session Creation - Negative Validation","features/session/session-negative.spec.ts","",""
"","21831","Authenticate leader","setup-auth","2026-08-21","passed","2026-08-21","Global Authentication Setup","setup/auth.setup.ts","",""
"","1244","Phase 2: OTP Resend Trigger & New Code Verification","auth","2026-08-21","passed","2026-08-21","Registration - Resend OTP Lifecycle","features/auth/registration.spec.ts","",""
"","1823","TC-02: Group Discovery - Search Functionality","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
"","84541","Provision Paid Leader with Available Slots","setup-leader-functional","2026-08-21","passed","2026-08-21","Setup - Functional Leader Provisioning","setup/leader-functional.setup.ts","",""
"","10510","Verify chat button is visible after login","default","2026-08-21","passed","2026-08-21","Support Chat Widget","features/general/third-party-chat-widget.spec.ts","",""
"","12880","Validation: Missing password submission","auth","2026-08-21","passed","2026-08-21","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","38058","RF-01: Leader creates a group and sets a paid price","refund","2026-08-21","passed","2026-08-21","Participant Refund — Cancel & Delete","features/payment/refund-flow.spec.ts","",""
"","6528","Format Constraint: First Name (Regex: Only letters allowed)","auth","2026-08-21","passed","2026-08-21","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","428","TC-06: Side Panel - Join CTA Visibility & State","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
"","11125","Successful Transaction - Verify happy path completion","default","2026-08-21","passed","2026-08-21","Stripe Payment Validation","features/payment/stripe-payment-validation.spec.ts","",""
"","6666","RF-03: Leader deletes the group (Cancel & Delete)","refund","2026-08-21","passed","2026-08-21","Participant Refund — Cancel & Delete","features/payment/refund-flow.spec.ts","",""
"","147592","Member can join leader-created session","session","2026-08-21","passed","2026-08-21","Join Session - Full E2E Journey","features/session/join-session-flow.spec.ts","",""
"","5071","Verify chat widget does not appear during regular test runs","default","2026-08-21","passed","2026-08-21","Support Chat Blocking","features/general/widget-kill-switch.spec.ts","",""
"","3894","Invalid CVC - Verify security code validation","default","2026-08-21","passed","2026-08-21","Stripe Payment Validation","features/payment/stripe-payment-validation.spec.ts","",""
"","93992","RF-02: Member joins and pays for the group","refund","2026-08-21","passed","2026-08-21","Participant Refund — Cancel & Delete","features/payment/refund-flow.spec.ts","",""
"","3977","Expired Card - Verify expiry validation feedback","default","2026-08-21","passed","2026-08-21","Stripe Payment Validation","features/payment/stripe-payment-validation.spec.ts","",""
"","11683","Authenticate leader_multi_group_hosting_plan","setup-auth","2026-08-21","passed","2026-08-21","Global Authentication Setup","setup/auth.setup.ts","",""
"","28882","Security Check: Post-Logout Back-Button Restriction","auth","2026-08-21","passed","2026-08-21","Login – Single User","features/auth/login.spec.ts","",""
"","6782","RF-05: Member loses access once the group is deleted","refund","2026-08-21","passed","2026-08-21","Participant Refund — Cancel & Delete","features/payment/refund-flow.spec.ts","",""
"","19538","Authenticate leader_active_hosting_plan","setup-auth","2026-08-21","passed","2026-08-21","Global Authentication Setup","setup/auth.setup.ts","",""
"","22553","Authenticate member","setup-auth","2026-08-21","passed","2026-08-21","Global Authentication Setup","setup/auth.setup.ts","",""
"","44072","Reactivate: Listing → Active Group — verifies Stripe payment, billing restoration, and Active-state menu","group-transition","2026-08-21","passed","2026-08-21","Group Transition — Downgrade · Reactivate · Cancel & Delete","features/transitions/active-group-transition.spec.ts","",""
"","72281","Provision Active-Plan Leader with 1 Active Group for Group Transition Tests","setup-leader-active-group-transition","2026-08-21","passed","2026-08-21","Setup - Active Group Transition Leader Provisioning","setup/leader-active-group-transition.setup.ts","",""
"","110639","Provision Active-Plan Leader with 1 Active Group for Plan Transition Tests","setup-leader-active-plan-transition","2026-08-21","passed","2026-08-21","Setup - Active Plan Transition Leader Provisioning","setup/leader-active-plan-transition.setup.ts","",""
"","9400","Verify chat panel opens when the button is clicked","default","2026-08-21","passed","2026-08-21","Support Chat Widget","features/general/third-party-chat-widget.spec.ts","",""
"","6920","Validation: Email required on registration","auth","2026-08-21","passed","2026-08-21","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","6174","Verify password visibility can be toggled in Registration","auth","2026-08-21","passed","2026-08-21","Registration - Password Visibility","features/auth/registration.spec.ts","",""
"","18852","Cancel & Delete: same group → permanently deleted — verifies per-group menu, reason flow, and removal","group-transition","2026-08-21","passed","2026-08-21","Multi-Group — Transitions (Downgrade · Reactivate · Cancel & Delete · Cancel Subscription)","features/transitions/multi-group-transition.spec.ts","",""
"","8373","Format Constraint: Password (Minimum Complexity: Len, Mix, Digit)","auth","2026-08-21","passed","2026-08-21","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","16405","Enforce limit on Active Plan: 1 group maximum","default","2026-08-21","passed","2026-08-21","Group Plan Limits Enforcement > Active Plan Limit (1 Group)","features/group/group-plan-limits.spec.ts","",""
"","8491","Format Constraint: Email (System-wide Collision check)","auth","2026-08-21","passed","2026-08-21","Registration - Integrity Matrix","features/auth/registration.spec.ts","",""
"","17715","Downgrade: one group Active → Listing — verifies group-scoped menu, modal, and success toast","group-transition","2026-08-21","passed","2026-08-21","Multi-Group — Transitions (Downgrade · Reactivate · Cancel & Delete · Cancel Subscription)","features/transitions/multi-group-transition.spec.ts","",""
"","11922","Validation: Empty credentials submission","auth","2026-08-21","passed","2026-08-21","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","8350","Invalid Credentials: Unregistered user cannot login with a generated email","auth","2026-08-21","passed","2026-08-21","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","6656","Security Check: Unauthorized Access Redirect","auth","2026-08-21","passed","2026-08-21","Login – Single User","features/auth/login.spec.ts","",""
"","12569","Phase 1: Registration Entry & Resend UI Countdown","auth","2026-08-21","passed","2026-08-21","Registration - Resend OTP Lifecycle","features/auth/registration.spec.ts","",""
"","7615","Verify chat button is visible before login","default","2026-08-21","passed","2026-08-21","Support Chat Widget","features/general/third-party-chat-widget.spec.ts","",""
"","6673","Invalid Credentials: Registered member fails login with minimum password length violation","auth","2026-08-21","passed","2026-08-21","Login – Single User > Invalid Login – Boundary & Validation","features/auth/login.spec.ts","",""
"","1703","TC-04: Side Panel - Trigger & Visibility","setup-member-subscribed","2026-08-21","passed","2026-08-21","Member Group Join Flow","features/group/group-join-flow.spec.ts","",""
